Application Name,Application ID
,
"('g.root-servers.net', 'il')","{'nsa.ns.il.', 'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('i.root-servers.net', 'il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('d.root-servers.net', 'il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('j.root-servers.net', 'il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('l.root-servers.net', 'il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('m.root-servers.net', 'il')","{'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsa.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('e.root-servers.net', 'il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('h.root-servers.net', 'il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('a.root-servers.net', 'il')","{'lookup.iucc.ac.il.', 'nsa.ns.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('k.root-servers.net', 'il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('f.root-servers.net', 'il')","{'nsa.ns.il.', 'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('nsa.ns.il.', 'il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ns3.ns.il.', 'il')","{'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsa.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('lookup.iucc.ac.il.', 'il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('nsb.ns.il.', 'il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ns2.ns.il.', 'il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('nse.ns.il.', 'il')","{'nsa.ns.il.', 'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ilns.ilan.net.il.', 'il')","{'nsa.ns.il.', 'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ns1.ns.il.', 'il')","{'lookup.iucc.ac.il.', 'nsa.ns.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
