Server Name,Server Information
a.root-servers.net,"DNS information
Domain: Root Domain
Host: a.root-servers.net
IPv4 Addresses: 198.41.0.4 
IPv6 Addresses :2001:503:ba3e::2:30 
Description: VeriSign Inc."
b.root-servers.net,"DNS information
Domain: Root Domain
Host: b.root-servers.net
IPv4 Addresses: 199.9.14.201 
IPv6 Addresses :2001:500:200::b 
Description: University of Southern California (ISI)"
c.root-servers.net,"DNS information
Domain: Root Domain
Host: c.root-servers.net
IPv4 Addresses: 192.33.4.12 
IPv6 Addresses :2001:500:2::c 
Description: Cogent Communications"
d.root-servers.net,"DNS information
Domain: Root Domain
Host: d.root-servers.net
IPv4 Addresses: 199.7.91.13 
IPv6 Addresses :2001:500:2d::d 
Description: University of Maryland"
e.root-servers.net,"DNS information
Domain: Root Domain
Host: e.root-servers.net
IPv4 Addresses: 192.203.230.10 
IPv6 Addresses :2001:500:a8::e 
Description: NASA (Ames Research Center)"
f.root-servers.net,"DNS information
Domain: Root Domain
Host: f.root-servers.net
IPv4 Addresses: 192.5.5.241 
IPv6 Addresses :2001:500:2f::f 
Description: Internet Systems Consortium Inc."
g.root-servers.net,"DNS information
Domain: Root Domain
Host: g.root-servers.net
IPv4 Addresses: 192.112.36.4 
IPv6 Addresses :2001:500:12::d0d 
Description: US Department of Defense (NIC)"
h.root-servers.net,"DNS information
Domain: Root Domain
Host: h.root-servers.net
IPv4 Addresses: 198.97.190.53 
IPv6 Addresses :2001:500:1::53 
Description: US Army (Research Lab)"
i.root-servers.net,"DNS information
Domain: Root Domain
Host: i.root-servers.net
IPv4 Addresses: 192.36.148.17 
IPv6 Addresses :2001:7fe::53 
Description: Netnod"
j.root-servers.net,"DNS information
Domain: Root Domain
Host: j.root-servers.net
IPv4 Addresses: 192.58.128.30 
IPv6 Addresses :2001:503:c27::2:30 
Description: VeriSign Inc."
k.root-servers.net,"DNS information
Domain: Root Domain
Host: k.root-servers.net
IPv4 Addresses: 193.0.14.129 
IPv6 Addresses :2001:7fd::1 
Description: RIPE NCC"
l.root-servers.net,"DNS information
Domain: Root Domain
Host: l.root-servers.net
IPv4 Addresses: 199.7.83.42 
IPv6 Addresses :2001:500:9f::42 
Description: ICANN"
m.root-servers.net,"DNS information
Domain: Root Domain
Host: m.root-servers.net
IPv4 Addresses: 202.12.27.33 
IPv6 Addresses :2001:dc3::35 
Description: WIDE Project"
a.dns.br.,"DNS information
Domain: br
Host: a.dns.br.
IPv4 Addresses: 200.160.0.10 
IPv6 Addresses :2001:12ff::10 
Description: Name server for domain ""br"""
b.dns.br.,"DNS information
Domain: br
Host: b.dns.br.
IPv4 Addresses: 200.189.41.10 
IPv6 Addresses : No information
Description: Name server for domain ""br"""
c.dns.br.,"DNS information
Domain: br
Host: c.dns.br.
IPv4 Addresses: 200.192.233.10 
IPv6 Addresses : No information
Description: Name server for domain ""br"""
d.dns.br.,"DNS information
Domain: br
Host: d.dns.br.
IPv4 Addresses: 200.219.154.10 
IPv6 Addresses :2001:12f8:4::10 
Description: Name server for domain ""br"""
e.dns.br.,"DNS information
Domain: br
Host: e.dns.br.
IPv4 Addresses: 200.229.248.10 
IPv6 Addresses :2001:12f8:1::10 
Description: Name server for domain ""br"""
f.dns.br.,"DNS information
Domain: br
Host: f.dns.br.
IPv4 Addresses: 200.219.159.10 
IPv6 Addresses :2001:12f8:c::10 
Description: Name server for domain ""br"""
a.cctld.us.,"DNS information
Domain: us
Host: a.cctld.us.
IPv4 Addresses: 156.154.124.70 
IPv6 Addresses : No information
Description: Name server for domain ""us"""
b.cctld.us.,"DNS information
Domain: us
Host: b.cctld.us.
IPv4 Addresses: 156.154.125.70 
IPv6 Addresses :2001:502:ad09::29 
Description: Name server for domain ""us"""
c.cctld.us.,"DNS information
Domain: us
Host: c.cctld.us.
IPv4 Addresses: 156.154.127.70 
IPv6 Addresses : No information
Description: Name server for domain ""us"""
e.cctld.us.,"DNS information
Domain: us
Host: e.cctld.us.
IPv4 Addresses: 156.154.126.70 
IPv6 Addresses : No information
Description: Name server for domain ""us"""
f.cctld.us.,"DNS information
Domain: us
Host: f.cctld.us.
IPv4 Addresses: 209.173.58.70 
IPv6 Addresses :2001:500:3682::11 
Description: Name server for domain ""us"""
k.cctld.us.,"DNS information
Domain: us
Host: k.cctld.us.
IPv4 Addresses: 156.154.128.70 
IPv6 Addresses :2001:503:e239::3:1 
Description: Name server for domain ""us"""
nsa.nic.uk.,"DNS information
Domain: uk
Host: nsa.nic.uk.
IPv4 Addresses: 156.154.100.3 
IPv6 Addresses :2001:502:ad09::3 
Description: Name server for domain ""uk"""
nsb.nic.uk.,"DNS information
Domain: uk
Host: nsb.nic.uk.
IPv4 Addresses: 156.154.101.3 
IPv6 Addresses : No information
Description: Name server for domain ""uk"""
nsc.nic.uk.,"DNS information
Domain: uk
Host: nsc.nic.uk.
IPv4 Addresses: 156.154.102.3 
IPv6 Addresses : No information
Description: Name server for domain ""uk"""
nsd.nic.uk.,"DNS information
Domain: uk
Host: nsd.nic.uk.
IPv4 Addresses: 156.154.103.3 
IPv6 Addresses : No information
Description: Name server for domain ""uk"""
dns1.nic.uk.,"DNS information
Domain: uk
Host: dns1.nic.uk.
IPv4 Addresses: 213.248.216.1 
IPv6 Addresses :2a01:618:400::1 
Description: Name server for domain ""uk"""
dns2.nic.uk.,"DNS information
Domain: uk
Host: dns2.nic.uk.
IPv4 Addresses: 103.49.80.1 
IPv6 Addresses :2401:fd80:400::1 
Description: Name server for domain ""uk"""
dns3.nic.uk.,"DNS information
Domain: uk
Host: dns3.nic.uk.
IPv4 Addresses: 213.248.220.1 
IPv6 Addresses :2a01:618:404::1 
Description: Name server for domain ""uk"""
dns4.nic.uk.,"DNS information
Domain: uk
Host: dns4.nic.uk.
IPv4 Addresses: 43.230.48.1 
IPv6 Addresses :2401:fd80:404::1 
Description: Name server for domain ""uk"""
a.dns.jp.,"DNS information
Domain: jp
Host: a.dns.jp.
IPv4 Addresses: 203.119.1.1 
IPv6 Addresses :2001:dc4::1 
Description: Name server for domain ""jp"""
b.dns.jp.,"DNS information
Domain: jp
Host: b.dns.jp.
IPv4 Addresses: 202.12.30.131 
IPv6 Addresses :2001:dc2::1 
Description: Name server for domain ""jp"""
c.dns.jp.,"DNS information
Domain: jp
Host: c.dns.jp.
IPv4 Addresses: 156.154.100.5 
IPv6 Addresses :2001:502:ad09::5 
Description: Name server for domain ""jp"""
d.dns.jp.,"DNS information
Domain: jp
Host: d.dns.jp.
IPv4 Addresses: 210.138.175.244 
IPv6 Addresses :2001:240::53 
Description: Name server for domain ""jp"""
e.dns.jp.,"DNS information
Domain: jp
Host: e.dns.jp.
IPv4 Addresses: 192.50.43.53 
IPv6 Addresses :2001:200:c000::35 
Description: Name server for domain ""jp"""
f.dns.jp.,"DNS information
Domain: jp
Host: f.dns.jp.
IPv4 Addresses: 150.100.6.8 
IPv6 Addresses :2001:2f8:0:100::153 
Description: Name server for domain ""jp"""
g.dns.jp.,"DNS information
Domain: jp
Host: g.dns.jp.
IPv4 Addresses: 203.119.40.1 
IPv6 Addresses : No information
Description: Name server for domain ""jp"""
h.dns.jp.,"DNS information
Domain: jp
Host: h.dns.jp.
IPv4 Addresses: 65.22.40.25 
IPv6 Addresses :2a01:8840:1ba::25 
Description: Name server for domain ""jp"""
z.dns.jp.,"DNS information
Domain: co.jp
Host: z.dns.jp.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""co.jp"""
a.gtld-servers.net.,"DNS information
Domain: com
Host: a.gtld-servers.net.
IPv4 Addresses: 192.5.6.30 
IPv6 Addresses :2001:503:a83e::2:30 
Description: Name server for domain ""com"""
b.gtld-servers.net.,"DNS information
Domain: com
Host: b.gtld-servers.net.
IPv4 Addresses: 192.33.14.30 
IPv6 Addresses :2001:503:231d::2:30 
Description: Name server for domain ""com"""
c.gtld-servers.net.,"DNS information
Domain: com
Host: c.gtld-servers.net.
IPv4 Addresses: 192.26.92.30 
IPv6 Addresses :2001:503:83eb::30 
Description: Name server for domain ""com"""
d.gtld-servers.net.,"DNS information
Domain: com
Host: d.gtld-servers.net.
IPv4 Addresses: 192.31.80.30 
IPv6 Addresses :2001:500:856e::30 
Description: Name server for domain ""com"""
