Server Name,Server Information
a.root-servers.net,"DNS information
Domain: Root Domain
Host: a.root-servers.net
IPv4 Addresses: 198.41.0.4 
IPv6 Addresses :2001:503:ba3e::2:30 
Description: VeriSign Inc."
b.root-servers.net,"DNS information
Domain: Root Domain
Host: b.root-servers.net
IPv4 Addresses: 199.9.14.201 
IPv6 Addresses :2001:500:200::b 
Description: University of Southern California (ISI)"
c.root-servers.net,"DNS information
Domain: Root Domain
Host: c.root-servers.net
IPv4 Addresses: 192.33.4.12 
IPv6 Addresses :2001:500:2::c 
Description: Cogent Communications"
d.root-servers.net,"DNS information
Domain: Root Domain
Host: d.root-servers.net
IPv4 Addresses: 199.7.91.13 
IPv6 Addresses :2001:500:2d::d 
Description: University of Maryland"
e.root-servers.net,"DNS information
Domain: Root Domain
Host: e.root-servers.net
IPv4 Addresses: 192.203.230.10 
IPv6 Addresses :2001:500:a8::e 
Description: NASA (Ames Research Center)"
f.root-servers.net,"DNS information
Domain: Root Domain
Host: f.root-servers.net
IPv4 Addresses: 192.5.5.241 
IPv6 Addresses :2001:500:2f::f 
Description: Internet Systems Consortium Inc."
g.root-servers.net,"DNS information
Domain: Root Domain
Host: g.root-servers.net
IPv4 Addresses: 192.112.36.4 
IPv6 Addresses :2001:500:12::d0d 
Description: US Department of Defense (NIC)"
h.root-servers.net,"DNS information
Domain: Root Domain
Host: h.root-servers.net
IPv4 Addresses: 198.97.190.53 
IPv6 Addresses :2001:500:1::53 
Description: US Army (Research Lab)"
i.root-servers.net,"DNS information
Domain: Root Domain
Host: i.root-servers.net
IPv4 Addresses: 192.36.148.17 
IPv6 Addresses :2001:7fe::53 
Description: Netnod"
j.root-servers.net,"DNS information
Domain: Root Domain
Host: j.root-servers.net
IPv4 Addresses: 192.58.128.30 
IPv6 Addresses :2001:503:c27::2:30 
Description: VeriSign Inc."
k.root-servers.net,"DNS information
Domain: Root Domain
Host: k.root-servers.net
IPv4 Addresses: 193.0.14.129 
IPv6 Addresses :2001:7fd::1 
Description: RIPE NCC"
l.root-servers.net,"DNS information
Domain: Root Domain
Host: l.root-servers.net
IPv4 Addresses: 199.7.83.42 
IPv6 Addresses :2001:500:9f::42 
Description: ICANN"
m.root-servers.net,"DNS information
Domain: Root Domain
Host: m.root-servers.net
IPv4 Addresses: 202.12.27.33 
IPv6 Addresses :2001:dc3::35 
Description: WIDE Project"
fork.sth.dnsnode.net.,"DNS information
Domain: ps
Host: fork.sth.dnsnode.net.
IPv4 Addresses: 77.72.229.254 
IPv6 Addresses :2a01:3f0:0:306::53 
Description: Name server for domain ""ps"""
dns1.gov.ps.,"DNS information
Domain: ps
Host: dns1.gov.ps.
IPv4 Addresses: 213.244.82.147 
IPv6 Addresses : No information
Description: Name server for domain ""ps"""
ps-ns.anycast.pch.net.,"DNS information
Domain: ps
Host: ps-ns.anycast.pch.net.
IPv4 Addresses: 204.61.216.29 
IPv6 Addresses :2001:500:14:6029:ad::1 
Description: Name server for domain ""ps"""
ns1.pnina.ps.,"DNS information
Domain: ps
Host: ns1.pnina.ps.
IPv4 Addresses: 194.6.225.20 
IPv6 Addresses : No information
Description: Name server for domain ""ps"""
rip.psg.com.,"DNS information
Domain: ps
Host: rip.psg.com.
IPv4 Addresses: 147.28.0.39 
IPv6 Addresses :2001:418:1::39 
Description: Name server for domain ""ps"""
ps.cctld.authdns.ripe.net.,"DNS information
Domain: ps
Host: ps.cctld.authdns.ripe.net.
IPv4 Addresses: 193.0.9.105 
IPv6 Addresses :2001:67c:e0::105 
Description: Name server for domain ""ps"""
ote.pnina.ps.,"DNS information
Domain: ps
Host: ote.pnina.ps.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""ps"""
e.gtld-servers.net.,"DNS information
Domain: com
Host: e.gtld-servers.net.
IPv4 Addresses: 192.12.94.30 
IPv6 Addresses :2001:502:1ca1::30 
Description: Name server for domain ""com"""
a.gtld-servers.net.,"DNS information
Domain: com
Host: a.gtld-servers.net.
IPv4 Addresses: 192.5.6.30 
IPv6 Addresses :2001:503:a83e::2:30 
Description: Name server for domain ""com"""
d.gtld-servers.net.,"DNS information
Domain: com
Host: d.gtld-servers.net.
IPv4 Addresses: 192.31.80.30 
IPv6 Addresses :2001:500:856e::30 
Description: Name server for domain ""com"""
h.gtld-servers.net.,"DNS information
Domain: com
Host: h.gtld-servers.net.
IPv4 Addresses: 192.54.112.30 
IPv6 Addresses :2001:502:8cc::30 
Description: Name server for domain ""com"""
b.gtld-servers.net.,"DNS information
Domain: com
Host: b.gtld-servers.net.
IPv4 Addresses: 192.33.14.30 
IPv6 Addresses :2001:503:231d::2:30 
Description: Name server for domain ""com"""
c.gtld-servers.net.,"DNS information
Domain: com
Host: c.gtld-servers.net.
IPv4 Addresses: 192.26.92.30 
IPv6 Addresses :2001:503:83eb::30 
Description: Name server for domain ""com"""
l.gtld-servers.net.,"DNS information
Domain: com
Host: l.gtld-servers.net.
IPv4 Addresses: 192.41.162.30 
IPv6 Addresses :2001:500:d937::30 
Description: Name server for domain ""com"""
k.gtld-servers.net.,"DNS information
Domain: com
Host: k.gtld-servers.net.
IPv4 Addresses: 192.52.178.30 
IPv6 Addresses :2001:503:d2d::30 
Description: Name server for domain ""com"""
g.gtld-servers.net.,"DNS information
Domain: com
Host: g.gtld-servers.net.
IPv4 Addresses: 192.42.93.30 
IPv6 Addresses :2001:503:eea3::30 
Description: Name server for domain ""com"""
i.gtld-servers.net.,"DNS information
Domain: com
Host: i.gtld-servers.net.
IPv4 Addresses: 192.43.172.30 
IPv6 Addresses :2001:503:39c1::30 
Description: Name server for domain ""com"""
f.gtld-servers.net.,"DNS information
Domain: com
Host: f.gtld-servers.net.
IPv4 Addresses: 192.35.51.30 
IPv6 Addresses :2001:503:d414::30 
Description: Name server for domain ""com"""
j.gtld-servers.net.,"DNS information
Domain: com
Host: j.gtld-servers.net.
IPv4 Addresses: 192.48.79.30 
IPv6 Addresses :2001:502:7094::30 
Description: Name server for domain ""com"""
m.gtld-servers.net.,"DNS information
Domain: com
Host: m.gtld-servers.net.
IPv4 Addresses: 192.55.83.30 
IPv6 Addresses :2001:501:b1f9::30 
Description: Name server for domain ""com"""
d.ext.nic.fr.,"DNS information
Domain: fr
Host: d.ext.nic.fr.
IPv4 Addresses: 192.5.4.2 
IPv6 Addresses :2001:500:2e::2 
Description: Name server for domain ""fr"""
d.nic.fr.,"DNS information
Domain: fr
Host: d.nic.fr.
IPv4 Addresses: 194.0.9.1 
IPv6 Addresses :2001:678:c::1 
Description: Name server for domain ""fr"""
e.ext.nic.fr.,"DNS information
Domain: fr
Host: e.ext.nic.fr.
IPv4 Addresses: 193.176.144.22 
IPv6 Addresses :2a00:d78:0:102:193:176:144:22 
Description: Name server for domain ""fr"""
g.ext.nic.fr.,"DNS information
Domain: fr
Host: g.ext.nic.fr.
IPv4 Addresses: 194.0.36.1 
IPv6 Addresses :2001:678:4c::1 
Description: Name server for domain ""fr"""
f.ext.nic.fr.,"DNS information
Domain: fr
Host: f.ext.nic.fr.
IPv4 Addresses: 194.146.106.46 
IPv6 Addresses :2001:67c:1010:11::53 
Description: Name server for domain ""fr"""
c.dns.cn.,"DNS information
Domain: cn
Host: c.dns.cn.
IPv4 Addresses: 203.119.27.1 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
d.dns.cn.,"DNS information
Domain: cn
Host: d.dns.cn.
IPv4 Addresses: 203.119.28.1 
IPv6 Addresses :2001:dc7:1000::1 
Description: Name server for domain ""cn"""
b.dns.cn.,"DNS information
Domain: cn
Host: b.dns.cn.
IPv4 Addresses: 203.119.26.1 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
f.dns.cn.,"DNS information
Domain: cn
Host: f.dns.cn.
IPv4 Addresses: 195.219.8.90 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
g.dns.cn.,"DNS information
Domain: cn
Host: g.dns.cn.
IPv4 Addresses: 66.198.183.65 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
e.dns.cn.,"DNS information
Domain: cn
Host: e.dns.cn.
IPv4 Addresses: 203.119.29.1 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
ns.cernet.net.,"DNS information
Domain: cn
Host: ns.cernet.net.
IPv4 Addresses: 202.112.0.44 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
