"(Server Name, Domain)",Servers known in domain
"('ns0.is.co.za.', 'ac.za')","{'za-ns.anycast.pch.net.', 'disa.tenet.ac.za.', 'ns0.is.co.za.', 'ucthpx.uct.ac.za.'}"
"('f.root-servers.net', 'ws')","{'ns3.dns.ws.', 'ns6.dns.ws.', 'ns7.dns.ws.', 'ns4.dns.ws.', 'ns2.dns.ws.', 'ns5.dns.ws.'}"
"('h.gtld-servers.net.', 'globalsign.com')","{'dns2.p07.nsone.net.', 'dns4.p07.nsone.net.', 'dns1.p07.nsone.net.', 'dns3.p07.nsone.net.'}"
"('j.root-servers.net', 'gov')","{'d.gov-servers.net.', 'a.gov-servers.net.', 'b.gov-servers.net.', 'c.gov-servers.net.'}"
"('i.root-servers.net', 'tr')","{'ns31.nic.tr.', 'ns42.nic.tr.', 'ns91.nic.tr.', 'ns92.nic.tr.', 'ns22.nic.tr.', 'ns21.nic.tr.', 'ns41.nic.tr.'}"
"('d-dns.pl.', 'com.pl')","{'f-dns.pl.', 'a-dns.pl.', 'b-dns.pl.', 'i-dns.pl.', 'e-dns.pl.', 'g-dns.pl.', 'h-dns.pl.', 'd-dns.pl.'}"
"('ns1.nic.net.ng.', 'gov.ng')","{'ns5.nic.net.ng.', 'ns1.nic.net.ng.', 'ns2.nic.net.ng.', 'nsa.nic.net.ng.'}"
"('d.root-servers.net', 'tl')","{'ns.coccaregistry.org.', 'ns.cocca.fr.', 'ns.anycast.nic.tl.'}"
"('f.root-servers.net', 'ni')","{'ns.cr.', 'ns.uu.net.', 'ns.ideay.net.ni.', 'ns2.ni.', 'ns.ibw.com.ni.', 'ns.ni.', 'ns.tmx.com.ni.'}"
"('e.root-servers.net', 'pw')","{'ns2.nic.pw.', 'ns3.nic.pw.', 'ns4.nic.pw.', 'ns1.nic.pw.'}"
"('d.root-servers.net', 'ca')","{'x.ca-servers.ca.', 'any.ca-servers.ca.', 'c.ca-servers.ca.', 'j.ca-servers.ca.'}"
"('g.twnic.net.tw.', 'org.tw')","{'h.twnic.net.tw.', 'g.twnic.net.tw.', 'b.twnic.net.tw.', 'a.twnic.net.tw.', 'e.twnic.net.tw.', 'anytld.apnic.net.', 'i.dns.tw.', 'c.twnic.net.tw.', 'd.twnic.net.tw.', 'h.dns.tw.', 'f.twnic.net.tw.'}"
"('ns-tld5.charlestonroadregistry.com.', 'google')","{'ns-tld4.charlestonroadregistry.com.', 'ns-tld2.charlestonroadregistry.com.', 'ns-tld1.charlestonroadregistry.com.', 'ns-tld3.charlestonroadregistry.com.', 'ns-tld5.charlestonroadregistry.com.'}"
"('f.root-servers.net', 'mn')","{'ns3.magic.mn.', 'a2.cctld.afilias-nst.info.', 'b2.cctld.afilias-nst.org.', 'a0.cctld.afilias-nst.info.', 'ns1.magic.mn.', 'c0.cctld.afilias-nst.info.', 'd0.cctld.afilias-nst.org.', 'b0.cctld.afilias-nst.org.', 'ns4.magic.mn.', 'ns2.magic.mn.'}"
"('g.gtld-servers.net.', 'jd.com')","{'ns2.jdcache.com.', 'ns3.jdcache.com.', 'ns4.jdcache.com.', 'ns1.jdcache.com.'}"
"('fork.sth.dnsnode.net.', 'mu')","{'udns2.tld.mu.', 'anycast1.irondns.net.', 'udns1.tld.mu.', 'fork.sth.dnsnode.net.'}"
"('dns2.p07.nsone.net.', 'globalsign.com')","{'dns2.p07.nsone.net.', 'dns4.p07.nsone.net.', 'dns1.p07.nsone.net.', 'dns3.p07.nsone.net.'}"
"('dns3.esa.int.', 'esa.int')","{'dns2.esa.int.', 'dns1.esa.int.', 'dns5.esa.int.', 'dns4.esa.int.', 'dns6.esa.int.', 'dns3.esa.int.'}"
"('demand.gamma.aridns.net.au.', 'cash')","{'demand.beta.aridns.net.au.', 'demand.alpha.aridns.net.au.', 'demand.delta.aridns.net.au.', 'demand.gamma.aridns.net.au.'}"
"('c.root-servers.net', 'il')","{'ilns.ilan.net.il.', 'nse.ns.il.', 'nsa.ns.il.', 'lookup.iucc.ac.il.', 'ns2.ns.il.', 'ns1.ns.il.', 'sns-pb.isc.org.', 'nsb.ns.il.', 'ns3.ns.il.'}"
"('ns2.gov.mo.', 'gov.mo')","{'ns3.gov.mo.', 'ns2.gov.mo.', 'ns1.gov.mo.'}"
"('c.dns.br.', 'com.br')","{'a.dns.br.', 'd.dns.br.', 'f.dns.br.', 'b.dns.br.', 'c.dns.br.', 'e.dns.br.'}"
"('eur1.nipr.mil.', 'mil')","{'EUR2.NIPR.MIL.', 'EUR1.NIPR.MIL.', 'PAC2.NIPR.MIL.', 'CON1.NIPR.MIL.', 'PAC1.NIPR.MIL.', 'CON2.NIPR.MIL.'}"
"('a6-66.akam.net.', 'godaddy.com')","{'a11-64.akam.net.', 'a9-67.akam.net.', 'a6-66.akam.net.', 'cns1.godaddy.com.', 'cns3.godaddy.com.', 'cns2.godaddy.com.', 'a8-67.akam.net.', 'a1-245.akam.net.', 'a20-65.akam.net.'}"
"('ns2.nic.net.sa.', 'edu.sa')","{'sa1.dnsnode.net.', 'ns1.isu.net.sa.', 'ns1.nic.net.sa.', 'ns2.nic.net.sa.', 's.nic.net.sa.', 'sa-ns.anycast.pch.net.', 's2.nic.net.sa.'}"
"('k.root-servers.net', 'tl')","{'ns.coccaregistry.org.', 'ns.cocca.fr.', 'ns.anycast.nic.tl.'}"
"('a.root-servers.net', 'ba')","{'auth03.ns.uu.net.', 'ns.ba.', 'sava.utic.net.ba.', 'una.utic.net.ba.', 'ba.anycastdns.cz.', 'munnari.oz.au.'}"
