Server Name,Server Information
ns4.jd.com.,"DNS information
Domain: jd.com
Host: ns4.jd.com.
IPv4 Addresses: 106.39.177.32 
IPv6 Addresses : No information
Description: Name server for domain ""jd.com"""
l.nic.rs.,"DNS information
Domain: rs
Host: l.nic.rs.
IPv4 Addresses: 194.146.106.114 
IPv6 Addresses :2001:67c:1010:29::53 
Description: Name server for domain ""rs"""
ns.uu.net.,"DNS information
Domain: ge
Host: ns.uu.net.
IPv4 Addresses: 137.39.1.3 
IPv6 Addresses : No information
Description: Name server for domain ""ge"""
ns1.ucy.ac.cy.,"DNS information
Domain: cy
Host: ns1.ucy.ac.cy.
IPv4 Addresses: 194.42.1.50 
IPv6 Addresses : No information
Description: Name server for domain ""cy"""
i.ns.mt.,"DNS information
Domain: mt
Host: i.ns.mt.
IPv4 Addresses: 192.5.4.1 
IPv6 Addresses :2001:500:2e::1 
Description: Name server for domain ""mt"""
ns-1069.awsdns-05.org.,"DNS information
Domain: feedblitz.com
Host: ns-1069.awsdns-05.org.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""feedblitz.com"""
e.dns.ar.,"DNS information
Domain: ar
Host: e.dns.ar.
IPv4 Addresses: 170.238.66.50 
IPv6 Addresses :2801:140:eeee::50 
Description: Name server for domain ""ar"""
dns3.nic.uk.,"DNS information
Domain: uk
Host: dns3.nic.uk.
IPv4 Addresses: 213.248.220.1 
IPv6 Addresses :2a01:618:404::1 
Description: Name server for domain ""uk"""
ns2.iif.hu.,"DNS information
Domain: ac.rs
Host: ns2.iif.hu.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""ac.rs"""
gr-at.ics.forth.gr.,"DNS information
Domain: gr
Host: gr-at.ics.forth.gr.
IPv4 Addresses: 78.104.145.227 
IPv6 Addresses : No information
Description: Name server for domain ""gr"""
ns3.ok.ru.,"DNS information
Domain: ok.ru
Host: ns3.ok.ru.
IPv4 Addresses: 217.20.155.93 
IPv6 Addresses : No information
Description: Name server for domain ""ok.ru"""
ns.net.ua.,"DNS information
Domain: net.ua
Host: ns.net.ua.
IPv4 Addresses: 31.28.166.180 
IPv6 Addresses :2a03:6300:1:103::180 
Description: Name server for domain ""net.ua"""
ns2.informika.ru.,"DNS information
Domain: edu.ru
Host: ns2.informika.ru.
IPv4 Addresses: 194.190.241.65 
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns91.nic.tr.,"DNS information
Domain: tr
Host: ns91.nic.tr.
IPv4 Addresses: 162.88.54.1 
IPv6 Addresses :2600:2000:3002::1 
Description: Name server for domain ""tr"""
ns92.nic.tr.,"DNS information
Domain: tr
Host: ns92.nic.tr.
IPv4 Addresses: 162.88.55.1 
IPv6 Addresses :2600:2000:3003::1 
Description: Name server for domain ""tr"""
ns1.jd.com.,"DNS information
Domain: jd.com
Host: ns1.jd.com.
IPv4 Addresses: 111.13.28.10 
IPv6 Addresses : No information
Description: Name server for domain ""jd.com"""
a0.org.afilias-nst.info.,"DNS information
Domain: org
Host: a0.org.afilias-nst.info.
IPv4 Addresses: 199.19.56.1 
IPv6 Addresses :2001:500:e::1 
Description: Name server for domain ""org"""
c.hkirc.net.hk.,"DNS information
Domain: hk
Host: c.hkirc.net.hk.
IPv4 Addresses: 203.119.2.218 
IPv6 Addresses :2001:dca:4000::cb77:2da 
Description: Name server for domain ""hk"""
de.nic.cr.,"DNS information
Domain: cr
Host: de.nic.cr.
IPv4 Addresses: 194.0.11.107 
IPv6 Addresses :2001:678:e:107::53 
Description: Name server for domain ""cr"""
pdns160.ultradns.biz.,"DNS information
Domain: adtech.de
Host: pdns160.ultradns.biz.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""adtech.de"""
ns1.gov.mn.,"DNS information
Domain: gov.mn
Host: ns1.gov.mn.
IPv4 Addresses: 218.100.84.162 
IPv6 Addresses : No information
Description: Name server for domain ""gov.mn"""
c.gtld.travel.,"DNS information
Domain: travel
Host: c.gtld.travel.
IPv4 Addresses: 156.154.102.1 
IPv6 Addresses :2610:a1:1010::1 
Description: Name server for domain ""travel"""
h.tld.sk.,"DNS information
Domain: sk
Host: h.tld.sk.
IPv4 Addresses: 212.18.249.16 
IPv6 Addresses :2a04:2b00:13ff::16 
Description: Name server for domain ""sk"""
b.twnic.net.tw.,"DNS information
Domain: gov.tw
Host: b.twnic.net.tw.
IPv4 Addresses: 203.73.24.24 
IPv6 Addresses :2001:45b1:0:5::24 
Description: Name server for domain ""gov.tw"""
i.zdnscloud.com.,"DNS information
Domain: top
Host: i.zdnscloud.com.
IPv4 Addresses:  No information
IPv6 Addresses :2401:8d00:1::1 
Description: Name server for domain ""top"""
d.nic.so.,"DNS information
Domain: so
Host: d.nic.so.
IPv4 Addresses: 196.216.168.54 
IPv6 Addresses :2001:43f8:120::54 
Description: Name server for domain ""so"""
ns6.dns.nic.bid.,"DNS information
Domain: bid
Host: ns6.dns.nic.bid.
IPv4 Addresses: 156.154.158.25 
IPv6 Addresses :2610:a1:1076::19 
Description: Name server for domain ""bid"""
b.dns.id.,"DNS information
Domain: id
Host: b.dns.id.
IPv4 Addresses: 103.19.179.179 
IPv6 Addresses :2402:ee80:b::b 
Description: Name server for domain ""id"""
ns4.register.bg.,"DNS information
Domain: bg
Host: ns4.register.bg.
IPv4 Addresses: 194.0.32.1 
IPv6 Addresses :2001:678:3c::1 
Description: Name server for domain ""bg"""
fork.sth.dnsnode.net.,"DNS information
Domain: mu
Host: fork.sth.dnsnode.net.
IPv4 Addresses: 77.72.229.254 
IPv6 Addresses :2a01:3f0:0:306::53 
Description: Name server for domain ""mu"""
u.ns.at.,"DNS information
Domain: at
Host: u.ns.at.
IPv4 Addresses: 185.102.12.2 
IPv6 Addresses :2a02:850:ffff::2 
Description: Name server for domain ""at"""
e.nic.so.,"DNS information
Domain: so
Host: e.nic.so.
IPv4 Addresses: 204.61.216.101 
IPv6 Addresses :2001:500:14:6101:ad::1 
Description: Name server for domain ""so"""
b0.org.afilias-nst.org.,"DNS information
Domain: org
Host: b0.org.afilias-nst.org.
IPv4 Addresses: 199.19.54.1 
IPv6 Addresses :2001:500:c::1 
Description: Name server for domain ""org"""
pac2.nipr.mil.,"DNS information
Domain: mil
Host: pac2.nipr.mil.
IPv4 Addresses: 199.252.155.234 
IPv6 Addresses : No information
Description: Name server for domain ""mil"""
ns1.ns.il.,"DNS information
Domain: il
Host: ns1.ns.il.
IPv4 Addresses: 194.146.106.122 
IPv6 Addresses :2001:67c:1010:31::53 
Description: Name server for domain ""il"""
ns.anycast.kenic.or.ke.,"DNS information
Domain: ke
Host: ns.anycast.kenic.or.ke.
IPv4 Addresses: 204.61.216.7 
IPv6 Addresses :2001:500:14:6007:ad::1 
Description: Name server for domain ""ke"""
