"(Server Name, Domain)",Servers known in domain
"('g.root-servers.net', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'ns1.pnina.ps.', 'fork.sth.dnsnode.net.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('e.root-servers.net', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'fork.sth.dnsnode.net.', 'ns1.pnina.ps.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('d.root-servers.net', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'fork.sth.dnsnode.net.', 'ns1.pnina.ps.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('i.root-servers.net', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'ns1.pnina.ps.', 'fork.sth.dnsnode.net.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('b.root-servers.net', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'fork.sth.dnsnode.net.', 'ns1.pnina.ps.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('j.root-servers.net', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'fork.sth.dnsnode.net.', 'ns1.pnina.ps.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('k.root-servers.net', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'ns1.pnina.ps.', 'fork.sth.dnsnode.net.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('l.root-servers.net', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'fork.sth.dnsnode.net.', 'ns1.pnina.ps.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('h.root-servers.net', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'fork.sth.dnsnode.net.', 'ns1.pnina.ps.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('f.root-servers.net', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'fork.sth.dnsnode.net.', 'ns1.pnina.ps.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('m.root-servers.net', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'fork.sth.dnsnode.net.', 'ns1.pnina.ps.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('c.root-servers.net', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'ns1.pnina.ps.', 'fork.sth.dnsnode.net.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('a.root-servers.net', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'fork.sth.dnsnode.net.', 'ns1.pnina.ps.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('ps-ns.anycast.pch.net.', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'ote.pnina.ps.', 'fork.sth.dnsnode.net.', 'ns1.pnina.ps.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('fork.sth.dnsnode.net.', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'ote.pnina.ps.', 'ns1.pnina.ps.', 'fork.sth.dnsnode.net.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('rip.psg.com.', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'ote.pnina.ps.', 'ns1.pnina.ps.', 'fork.sth.dnsnode.net.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('ps.cctld.authdns.ripe.net.', 'ps')","{'dns1.gov.ps.', 'ps-ns.anycast.pch.net.', 'ote.pnina.ps.', 'ns1.pnina.ps.', 'fork.sth.dnsnode.net.', 'rip.psg.com.', 'ps.cctld.authdns.ripe.net.'}"
"('g.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('e.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('d.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('i.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('b.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
"('j.root-servers.net', 'com')","{'a.gtld-servers.net.', 'k.gtld-servers.net.', 'f.gtld-servers.net.', 'h.gtld-servers.net.', 'b.gtld-servers.net.', 'g.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'i.gtld-servers.net.', 'c.gtld-servers.net.', 'l.gtld-servers.net.', 'j.gtld-servers.net.'}"
