"(Server Name, Domain)",Servers known in domain
"('d.root-servers.net', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('k.root-servers.net', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('i.root-servers.net', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('a.root-servers.net', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('h.root-servers.net', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('f.root-servers.net', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('l.root-servers.net', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('b.root-servers.net', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('j.root-servers.net', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('g.root-servers.net', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('e.root-servers.net', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('c.root-servers.net', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('m.root-servers.net', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('f.dns.br.', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('e.dns.br.', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('c.dns.br.', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('d.dns.br.', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('a.dns.br.', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('b.dns.br.', 'br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('f.dns.br.', 'com.br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('d.dns.br.', 'com.br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('e.dns.br.', 'com.br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('c.dns.br.', 'com.br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('a.dns.br.', 'com.br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('b.dns.br.', 'com.br')","{'f.dns.br.', 'e.dns.br.', 'c.dns.br.', 'd.dns.br.', 'a.dns.br.', 'b.dns.br.'}"
"('d.root-servers.net', 'us')","{'b.cctld.us.', 'k.cctld.us.', 'c.cctld.us.', 'a.cctld.us.', 'f.cctld.us.', 'e.cctld.us.'}"
"('k.root-servers.net', 'us')","{'b.cctld.us.', 'k.cctld.us.', 'c.cctld.us.', 'a.cctld.us.', 'f.cctld.us.', 'e.cctld.us.'}"
"('i.root-servers.net', 'us')","{'b.cctld.us.', 'k.cctld.us.', 'c.cctld.us.', 'a.cctld.us.', 'f.cctld.us.', 'e.cctld.us.'}"
"('a.root-servers.net', 'us')","{'b.cctld.us.', 'k.cctld.us.', 'c.cctld.us.', 'a.cctld.us.', 'f.cctld.us.', 'e.cctld.us.'}"
"('h.root-servers.net', 'us')","{'b.cctld.us.', 'k.cctld.us.', 'c.cctld.us.', 'a.cctld.us.', 'f.cctld.us.', 'e.cctld.us.'}"
"('f.root-servers.net', 'us')","{'b.cctld.us.', 'k.cctld.us.', 'c.cctld.us.', 'a.cctld.us.', 'f.cctld.us.', 'e.cctld.us.'}"
