"server1, server2, domain",misconfiguration info
"('a.gtld-servers.net.', 'c.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: a.gtld-servers.net.
Host2: c.ns.apple.com.
NS known to both servers: {'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}
NS known to host1 and not known to host2: {'nserver5.apple.com.', 'nserver6.apple.com.'}
NS known to host2 and not known to host1: 
"
"('a.gtld-servers.net.', 'f.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: a.gtld-servers.net.
Host2: f.ns.apple.com.
NS known to both servers: {'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}
NS known to host1 and not known to host2: {'nserver5.apple.com.', 'nserver6.apple.com.'}
NS known to host2 and not known to host1: 
"
"('a.gtld-servers.net.', 'b.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: a.gtld-servers.net.
Host2: b.ns.apple.com.
NS known to both servers: {'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}
NS known to host1 and not known to host2: {'nserver5.apple.com.', 'nserver6.apple.com.'}
NS known to host2 and not known to host1: 
"
"('a.gtld-servers.net.', 'd.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: a.gtld-servers.net.
Host2: d.ns.apple.com.
NS known to both servers: {'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}
NS known to host1 and not known to host2: {'nserver5.apple.com.', 'nserver6.apple.com.'}
NS known to host2 and not known to host1: 
"
"('a.gtld-servers.net.', 'e.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: a.gtld-servers.net.
Host2: e.ns.apple.com.
NS known to both servers: {'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}
NS known to host1 and not known to host2: {'nserver5.apple.com.', 'nserver6.apple.com.'}
NS known to host2 and not known to host1: 
"
"('a.gtld-servers.net.', 'a.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: a.gtld-servers.net.
Host2: a.ns.apple.com.
NS known to both servers: {'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}
NS known to host1 and not known to host2: {'nserver5.apple.com.', 'nserver6.apple.com.'}
NS known to host2 and not known to host1: 
"
"('c.gtld-servers.net.', 'c.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: c.gtld-servers.net.
Host2: c.ns.apple.com.
NS known to both servers: {'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}
NS known to host1 and not known to host2: {'nserver5.apple.com.', 'nserver6.apple.com.'}
NS known to host2 and not known to host1: 
"
"('c.gtld-servers.net.', 'f.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: c.gtld-servers.net.
Host2: f.ns.apple.com.
NS known to both servers: {'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}
NS known to host1 and not known to host2: {'nserver5.apple.com.', 'nserver6.apple.com.'}
NS known to host2 and not known to host1: 
"
"('c.gtld-servers.net.', 'b.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: c.gtld-servers.net.
Host2: b.ns.apple.com.
NS known to both servers: {'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}
NS known to host1 and not known to host2: {'nserver5.apple.com.', 'nserver6.apple.com.'}
NS known to host2 and not known to host1: 
"
"('c.gtld-servers.net.', 'd.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: c.gtld-servers.net.
Host2: d.ns.apple.com.
NS known to both servers: {'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}
NS known to host1 and not known to host2: {'nserver5.apple.com.', 'nserver6.apple.com.'}
NS known to host2 and not known to host1: 
"
