"(Server Name, Domain)",Servers known in domain
"('c.root-servers.net', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'h.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('h.root-servers.net', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('d.root-servers.net', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('i.root-servers.net', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('a.root-servers.net', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('j.root-servers.net', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('b.root-servers.net', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('e.root-servers.net', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('f.root-servers.net', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('m.root-servers.net', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('k.root-servers.net', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('g.root-servers.net', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('l.root-servers.net', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('a.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('c.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'h.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('i.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('k.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('d.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('e.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'h.gtld-servers.net.', 'd.gtld-servers.net.'}"
"('l.gtld-servers.net.', 'com')","{'a.gtld-servers.net.', 'c.gtld-servers.net.', 'i.gtld-servers.net.', 'k.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.', 'g.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'd.gtld-servers.net.'}"
