"server1, server2, domain",misconfiguration info
"('l.gtld-servers.net.', 'f.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: l.gtld-servers.net.
Host2: f.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('l.gtld-servers.net.', 'b.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: l.gtld-servers.net.
Host2: b.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('l.gtld-servers.net.', 'e.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: l.gtld-servers.net.
Host2: e.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('l.gtld-servers.net.', 'a.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: l.gtld-servers.net.
Host2: a.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('l.gtld-servers.net.', 'c.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: l.gtld-servers.net.
Host2: c.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('l.gtld-servers.net.', 'd.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: l.gtld-servers.net.
Host2: d.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('h.gtld-servers.net.', 'f.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: h.gtld-servers.net.
Host2: f.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('h.gtld-servers.net.', 'b.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: h.gtld-servers.net.
Host2: b.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('h.gtld-servers.net.', 'e.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: h.gtld-servers.net.
Host2: e.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('h.gtld-servers.net.', 'a.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: h.gtld-servers.net.
Host2: a.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('h.gtld-servers.net.', 'c.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: h.gtld-servers.net.
Host2: c.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('h.gtld-servers.net.', 'd.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: h.gtld-servers.net.
Host2: d.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('k.gtld-servers.net.', 'f.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: k.gtld-servers.net.
Host2: f.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('k.gtld-servers.net.', 'b.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: k.gtld-servers.net.
Host2: b.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('k.gtld-servers.net.', 'e.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: k.gtld-servers.net.
Host2: e.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('k.gtld-servers.net.', 'a.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: k.gtld-servers.net.
Host2: a.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('k.gtld-servers.net.', 'c.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: k.gtld-servers.net.
Host2: c.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('k.gtld-servers.net.', 'd.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: k.gtld-servers.net.
Host2: d.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('e.gtld-servers.net.', 'f.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: e.gtld-servers.net.
Host2: f.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('e.gtld-servers.net.', 'b.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: e.gtld-servers.net.
Host2: b.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('e.gtld-servers.net.', 'e.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: e.gtld-servers.net.
Host2: e.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('e.gtld-servers.net.', 'a.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: e.gtld-servers.net.
Host2: a.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('e.gtld-servers.net.', 'c.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: e.gtld-servers.net.
Host2: c.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('e.gtld-servers.net.', 'd.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: e.gtld-servers.net.
Host2: d.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('f.gtld-servers.net.', 'f.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: f.gtld-servers.net.
Host2: f.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('f.gtld-servers.net.', 'b.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: f.gtld-servers.net.
Host2: b.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('f.gtld-servers.net.', 'e.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: f.gtld-servers.net.
Host2: e.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('f.gtld-servers.net.', 'a.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: f.gtld-servers.net.
Host2: a.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
"('f.gtld-servers.net.', 'c.ns.apple.com.', 'apple.com')","Misconfiguration information
Domain: apple.com
Host1: f.gtld-servers.net.
Host2: c.ns.apple.com.
NS known to host1 and not known to host2: 
NS known to host2 and not known to host1: {'nserver6.apple.com.', 'nserver5.apple.com.'}
"
